dni_persona,rango
43815248,Supervisor
11749773,Coordinador
50479072,Gerente
56370000,Coordinador
88283793,Gerente
25228322,Gerente
96345532,Supervisor
50231585,Coordinador
32238100,Gerente
38199332,Gerente
62127669,Gerente
85683482,Supervisor
82615775,Gerente
75281934,Gerente
87266927,Gerente
46746848,Gerente
28451659,Coordinador
76012199,Gerente
86696217,Gerente
63948471,Coordinador
69080532,Supervisor
10519785,Gerente
43416914,Supervisor
71882924,Gerente
86672784,Coordinador
67356015,Coordinador
88413714,Supervisor
88749544,Supervisor
60378039,Coordinador
21970599,Coordinador
69532407,Coordinador
94840836,Supervisor
72295813,Coordinador
74215830,Coordinador
22863899,Coordinador
58994240,Coordinador
66720764,Supervisor
68472465,Gerente
65015279,Gerente
12879242,Supervisor
50176075,Coordinador
43534149,Gerente
98107439,Coordinador
66800003,Gerente
77054645,Supervisor
52606371,Coordinador
57936728,Supervisor
80328005,Coordinador
77571738,Supervisor
61700415,Gerente
