dni_persona,fecha_ingreso,inicio_turno,fin_turno,salario
21375452,2023-07-09,08:00:00,17:00:00,3569.18
33950128,2024-03-28,08:00:00,17:00:00,4232.74
28570823,2020-08-01,08:00:00,17:00:00,3000.09
37256554,2022-10-29,08:00:00,17:00:00,4371.71
88393275,2023-02-08,08:00:00,17:00:00,2923.65
95216714,2022-10-07,08:00:00,17:00:00,3984.36
81986371,2021-12-13,08:00:00,17:00:00,3586.75
27427266,2021-02-13,08:00:00,17:00:00,3025.34
30185197,2021-04-25,08:00:00,17:00:00,3462.87
93998447,2022-12-03,08:00:00,17:00:00,3730.35
85874004,2022-04-27,08:00:00,17:00:00,3027.53
55288036,2021-12-04,08:00:00,17:00:00,4400.38
63638867,2021-04-15,08:00:00,17:00:00,3243.05
93584938,2022-12-10,08:00:00,17:00:00,3879.96
91962934,2021-06-09,08:00:00,17:00:00,3162.0
34846734,2023-06-15,08:00:00,17:00:00,4400.37
69773398,2022-07-31,08:00:00,17:00:00,3485.83
47657278,2021-05-07,08:00:00,17:00:00,4673.41
18641255,2020-08-20,08:00:00,17:00:00,3678.75
92783595,2023-08-23,08:00:00,17:00:00,4137.92
40162287,2022-06-05,08:00:00,17:00:00,3550.47
58358599,2021-11-21,08:00:00,17:00:00,4692.98
28542183,2022-02-18,08:00:00,17:00:00,4062.64
70020137,2023-05-05,08:00:00,17:00:00,4366.12
66810755,2021-11-12,08:00:00,17:00:00,4886.0
60687700,2021-03-18,08:00:00,17:00:00,2622.51
21000309,2020-11-01,08:00:00,17:00:00,4894.74
98244389,2020-07-04,08:00:00,17:00:00,2914.3
38868080,2021-03-14,08:00:00,17:00:00,3070.89
88796800,2021-11-16,08:00:00,17:00:00,2552.19
76119745,2022-04-28,08:00:00,17:00:00,4622.04
91994498,2021-01-26,08:00:00,17:00:00,3850.38
58506571,2021-05-30,08:00:00,17:00:00,2905.4
66354601,2022-03-13,08:00:00,17:00:00,4417.36
69420990,2021-10-01,08:00:00,17:00:00,3175.83
85081056,2022-05-12,08:00:00,17:00:00,2766.93
32453828,2021-09-25,08:00:00,17:00:00,4185.05
86545508,2024-06-10,08:00:00,17:00:00,3577.8
19198923,2022-04-26,08:00:00,17:00:00,4358.56
55319884,2022-05-02,08:00:00,17:00:00,4985.55
61502032,2021-05-19,08:00:00,17:00:00,4316.52
30787386,2020-12-13,08:00:00,17:00:00,3994.45
95950942,2023-09-16,08:00:00,17:00:00,4915.6
33033899,2020-10-04,08:00:00,17:00:00,2756.53
31501430,2021-05-05,08:00:00,17:00:00,2913.01
69598928,2021-12-26,08:00:00,17:00:00,2671.28
40191996,2022-01-10,08:00:00,17:00:00,3710.09
97666579,2023-07-14,08:00:00,17:00:00,3735.22
76430643,2020-10-06,08:00:00,17:00:00,4476.65
65721232,2023-12-12,08:00:00,17:00:00,4196.4
79890158,2020-07-06,08:00:00,17:00:00,3075.74
50886936,2021-06-17,08:00:00,17:00:00,3254.99
31502428,2023-06-16,08:00:00,17:00:00,4869.82
12320417,2021-03-12,08:00:00,17:00:00,3569.87
91352137,2021-04-05,08:00:00,17:00:00,3847.9
30096856,2021-10-09,08:00:00,17:00:00,2523.92
54375666,2023-09-07,08:00:00,17:00:00,2736.71
45121235,2023-11-06,08:00:00,17:00:00,3714.69
36147757,2022-11-12,08:00:00,17:00:00,2740.02
21794942,2023-02-03,08:00:00,17:00:00,2728.87
49437044,2023-07-02,08:00:00,17:00:00,4162.39
27712393,2023-11-12,08:00:00,17:00:00,3531.71
13844047,2021-07-12,08:00:00,17:00:00,3339.15
73543500,2023-06-18,08:00:00,17:00:00,3602.72
11294269,2023-04-24,08:00:00,17:00:00,4330.81
65658788,2022-04-19,08:00:00,17:00:00,4043.8
97231202,2022-09-28,08:00:00,17:00:00,4937.52
22723132,2021-06-29,08:00:00,17:00:00,3502.77
67198087,2022-02-26,08:00:00,17:00:00,3787.3
50468260,2021-10-13,08:00:00,17:00:00,4500.44
36032580,2020-11-25,08:00:00,17:00:00,2523.72
28653012,2020-08-30,08:00:00,17:00:00,4086.47
38985591,2020-11-14,08:00:00,17:00:00,3120.86
32179431,2023-12-24,08:00:00,17:00:00,3396.23
19857293,2024-02-29,08:00:00,17:00:00,4361.08
80981575,2023-07-09,08:00:00,17:00:00,3087.81
