id,dni_persona,nombre,ruc_proveedor,stock,precio
1,89352645,doloremque,18698954367,521,51.51
2,41708733,architecto,61919800237,517,64.33
3,37720792,omnis,59902906880,268,161.61
4,81550829,assumenda,93709903433,172,173.15
5,59260460,veniam,93709903433,489,148.47
6,83944119,unde,72488085645,729,188.1
7,39781020,dolorem,77859600134,89,73.23
8,89352645,explicabo,82852736111,123,198.23
9,20087633,officiis,91355908570,842,131.14
10,79700365,veniam,20215499809,282,167.56
11,40483555,nemo,40958053344,490,12.31
12,80974491,similique,86107742182,150,134.23
13,68367134,aliquam,34703109516,624,22.9
14,94986642,quas,65331954954,357,161.12
15,98391320,tenetur,62560916815,448,108.11
16,89352645,quibusdam,41757111383,629,8.42
17,69959035,totam,83828734918,263,114.08
18,74052381,voluptatum,32442840362,76,135.95
19,80645867,id,83438643228,336,92.2
20,80645867,tempore,80439366995,158,146.98
21,80974491,tenetur,14820981915,263,140.33
22,72836970,ratione,86210023135,844,38.94
23,42023992,officiis,61325860516,744,29.38
24,92050216,dolorem,40069947016,491,179.24
25,89352645,hic,74281122136,579,11.4
26,98391320,libero,88406427230,501,57.05
27,27926480,sunt,80439366995,169,71.2
28,85550838,aut,72686810491,867,108.95
29,83944119,maxime,62560916815,377,94.26
30,53257757,incidunt,26021382433,618,89.52
31,80645867,impedit,62278901001,885,9.07
32,49972085,officiis,83436286838,700,150.69
33,61284804,reprehenderit,86306407107,683,153.63
34,94986642,assumenda,20215499809,261,48.54
35,84095686,aliquam,41452088358,305,68.01
36,74052381,alias,24246461904,826,38.09
37,18034966,atque,37564460311,244,79.35
38,69959035,fugiat,67257968746,706,176.29
39,20087633,hic,27976165143,695,182.77
40,46487705,ex,32673428740,44,93.2
41,59260460,eligendi,31677021983,82,199.93
42,25289714,cupiditate,62278901001,405,10.81
43,20087633,dolores,11452693605,892,154.79
44,42881519,accusantium,64061995519,273,108.02
45,60663810,corporis,41757111383,824,180.49
46,53257757,nemo,90974755642,301,132.52
47,42023992,blanditiis,54559027496,516,76.34
48,85550838,culpa,39237413781,280,30.8
49,20087633,quia,25114241034,415,139.6
50,68367134,maiores,76540295841,392,50.82
51,26765730,excepturi,45163177249,70,153.19
52,27926480,quidem,61919800237,390,157.59
53,79700365,itaque,61456698862,83,93.78
54,42023992,dolore,32673428740,618,33.38
55,68333054,maiores,32673428740,400,23.23
56,25536844,velit,20117435398,796,178.21
57,89352645,nam,18698954367,240,152.39
58,49972085,quaerat,18698954367,630,30.95
59,39781020,saepe,67257968746,782,178.15
60,18034966,fuga,59374582855,444,99.31
61,78249006,libero,83828734918,199,194.31
62,67665892,minus,17810169894,955,54.73
63,78249006,excepturi,83018442197,820,66.71
64,46487705,modi,39237413781,269,150.29
65,49972085,provident,65183706374,541,133.97
66,40483555,dolore,32446323575,958,185.48
67,72836970,placeat,11452693605,699,140.08
68,83944119,laudantium,88406427230,112,158.33
69,41708733,debitis,20117435398,198,48.03
70,81550829,exercitationem,39237413781,892,98.63
71,74052381,sunt,83436286838,52,109.98
72,74052381,delectus,20117435398,293,125.09
73,81001783,molestiae,64061995519,887,54.82
74,84095686,sequi,83018442197,183,43.75
75,74845783,doloribus,25114241034,33,183.04
76,27926480,necessitatibus,16074673898,232,18.79
77,85550838,illum,77859600134,992,59.29
78,25289714,totam,17320842231,295,136.4
79,81001783,ipsam,64351279818,424,23.57
80,46487705,odio,85716989685,844,142.79
81,39781020,expedita,37564460311,253,197.93
82,68333054,totam,84037321382,46,66.06
83,33472311,nam,71269205579,895,8.96
84,17061113,ratione,59902906880,265,23.04
85,17171039,atque,16074673898,447,141.21
86,98391320,voluptatum,51272740496,29,165.47
87,48251892,eius,71269205579,276,175.92
88,95575112,illo,88406427230,723,8.96
89,78249006,perspiciatis,80439366995,995,17.14
90,17171039,nihil,86306407107,662,21.85
91,17171039,dolores,41179731510,922,95.78
92,53257757,sint,59956396628,403,186.86
93,40483555,consequatur,26021382433,19,109.72
94,80974491,illo,62560916815,208,167.58
95,26765730,iste,10226518707,167,5.35
96,55213470,quisquam,32673428740,528,97.18
97,31892556,rem,55187489548,716,54.74
98,59260460,tempora,72484508609,288,23.28
99,94986642,corrupti,18966429023,712,133.94
100,95575112,debitis,62560916815,677,184.73
101,22019123,fugit,17788164077,817,88.41
102,45565143,ab,18966429023,613,23.05
103,64735878,assumenda,10226518707,438,168.32
104,17171039,atque,38245811230,988,133.0
105,41708733,aliquam,75344676744,448,152.36
106,95575112,totam,18966429023,999,98.18
107,61284804,placeat,49913165931,453,73.32
108,42881519,fugiat,17788164077,389,39.95
109,20087633,eos,35288405632,373,6.94
110,27926480,labore,32446323575,887,150.96
111,68333054,modi,16074673898,679,35.7
112,42023992,adipisci,19031019716,518,28.12
113,22019123,sit,62560916815,604,80.04
114,94986642,possimus,35288405632,614,153.03
115,37720792,minus,72686810491,423,142.12
116,46487705,accusantium,51272740496,621,83.66
117,64735878,quidem,93709903433,844,8.41
118,26765730,accusamus,75759341423,957,72.31
119,59260460,ut,93709903433,353,70.52
