dni_persona,num_colegiatura,especializacion
21375452,VET-340585,Dermatología
33950128,VET-944645,Dermatología
28570823,VET-588226,Medicina General
37256554,VET-373409,Dermatología
88393275,VET-219444,Cardiología
95216714,VET-589821,Oncología
81986371,VET-130017,Cardiología
27427266,VET-277779,Oncología
30185197,VET-982850,Dermatología
93998447,VET-794242,Cirugía
85874004,VET-822970,Cardiología
55288036,VET-062967,Cirugía
63638867,VET-462371,Dermatología
93584938,VET-246366,Cirugía
91962934,VET-745473,Cardiología
34846734,VET-450583,Cirugía
69773398,VET-765053,Dermatología
47657278,VET-665431,Dermatología
18641255,VET-570583,Dermatología
92783595,VET-862819,Cirugía
40162287,VET-224616,Dermatología
58358599,VET-636497,Oncología
28542183,VET-091742,Oncología
70020137,VET-781922,Dermatología
66810755,VET-907864,Cardiología
60687700,VET-136465,Cardiología
21000309,VET-517535,Cardiología
98244389,VET-455226,Cirugía
38868080,VET-411723,Cirugía
88796800,VET-541861,Cardiología
76119745,VET-504014,Medicina General
91994498,VET-344296,Dermatología
58506571,VET-736150,Oncología
66354601,VET-110318,Medicina General
69420990,VET-014436,Cardiología
85081056,VET-695113,Oncología
32453828,VET-932836,Cirugía
86545508,VET-256472,Oncología
19198923,VET-870055,Cirugía
55319884,VET-906990,Cardiología
61502032,VET-561245,Cardiología
30787386,VET-482922,Cirugía
95950942,VET-436565,Cirugía
33033899,VET-283822,Dermatología
31501430,VET-885989,Dermatología
69598928,VET-133111,Medicina General
40191996,VET-163418,Dermatología
97666579,VET-553820,Oncología
76430643,VET-906522,Cirugía
65721232,VET-010064,Cardiología
79890158,VET-131514,Cirugía
50886936,VET-937003,Dermatología
31502428,VET-697984,Cardiología
12320417,VET-397632,Medicina General
91352137,VET-421951,Dermatología
30096856,VET-318489,Medicina General
54375666,VET-127750,Cirugía
45121235,VET-806948,Oncología
36147757,VET-391591,Cardiología
21794942,VET-513697,Medicina General
49437044,VET-992066,Cardiología
27712393,VET-930050,Dermatología
13844047,VET-911859,Cardiología
73543500,VET-815467,Cardiología
11294269,VET-315861,Cirugía
65658788,VET-235417,Oncología
97231202,VET-808229,Cirugía
22723132,VET-303796,Cirugía
67198087,VET-636456,Oncología
50468260,VET-890046,Medicina General
36032580,VET-490835,Cirugía
28653012,VET-226129,Cirugía
38985591,VET-689566,Cardiología
32179431,VET-772147,Cirugía
19857293,VET-565364,Cardiología
80981575,VET-314290,Cirugía
95357386,VET-029724,Dermatología
75595115,VET-148193,Medicina General
93385409,VET-326372,Dermatología
56355002,VET-126562,Cardiología
27703570,VET-552402,Cirugía
54430965,VET-495988,Oncología
34305289,VET-001882,Medicina General
64690555,VET-666984,Cardiología
74834394,VET-234486,Oncología
76295675,VET-200893,Dermatología
58981449,VET-683291,Dermatología
72546683,VET-832869,Cardiología
55748283,VET-834104,Cardiología
39487882,VET-774628,Medicina General
22044568,VET-089371,Dermatología
29219804,VET-987076,Dermatología
97687033,VET-070607,Cardiología
64833983,VET-567015,Cardiología
57426648,VET-814034,Oncología
19280334,VET-047462,Cirugía
53529481,VET-761977,Cardiología
60531924,VET-806305,Medicina General
27561046,VET-844226,Dermatología
60113565,VET-124766,Oncología
