dni_persona,telefono_fijo
69559878,79716
50214275,79730
91712099,52353
71957346,66574
59880514,83659
15381251,99400
54340672,83572
40236927,96220
72593153,94492
40679286,53050
10852501,41921
70462568,99739
59320797,88811
61080694,32446
95986523,21778
31163577,55218
84551138,99072
32004435,51747
56660163,83084
94841245,41401
60373795,63528
60005759,97190
45251039,44531
22411146,35167
88569343,94519
71561117,24101
70167698,96185
82981458,15468
93598952,15498
22851821,67406
35285640,58219
10828577,86731
91595395,98784
33193704,24759
85919349,60954
84353125,72034
33033846,91611
36244272,53402
17502618,96322
89424820,13894
48665222,33539
88459812,61379
47278243,29760
66119427,13413
78639496,76063
10929307,57327
36475821,14307
74930686,78376
47635879,34508
31185698,30250
90358187,30350
30485777,66881
70133773,65165
10771667,24657
33432018,92775
56797627,70528
43851127,24880
58499742,40528
70715059,53497
48801358,83845
20408374,24176
52158481,18593
12223713,68613
81107519,95669
37510206,35936
53796999,63987
41389060,76061
43032134,96633
43103789,98706
71481977,91581
57309518,88448
81278358,90870
69784384,97813
86664325,49511
47386797,94683
18928453,15943
61385272,80882
58825104,88691
67638958,22642
61935078,31003
41155256,33860
30939758,53773
23217299,82675
77449291,49071
19493400,92647
15602632,91364
26815512,21715
90162497,85633
66243727,60938
12856928,45116
51685793,89109
65090066,42535
97944041,31672
65449636,67299
24380029,77639
13527171,33575
28363125,33425
22841869,48583
21863268,50639
42998011,28457
73358613,32079
81405848,32861
18135794,69538
85549536,63113
78396761,84412
21354882,25933
96713328,27001
16214199,22207
60960228,80714
96478106,58304
32064526,10990
39995995,71178
78564869,27296
13612151,84285
16065613,14662
74540457,67463
36274182,77660
66815199,35899
67390548,31179
58959186,76834
12941017,30485
43811784,68067
81028321,38779
56786383,34520
64505322,79100
17446762,49303
98568926,40173
53859419,87701
57435508,28656
10866718,67608
31102321,97915
21632988,81491
69279669,74143
17865082,95673
91748764,93600
30482974,12478
63204476,53423
21344491,19928
14595175,90755
75670429,38164
23043900,45443
33676377,79891
90245372,54209
95267191,75102
80554064,59729
40076949,95449
75846027,27317
73359136,93821
20997516,80921
18081188,96808
19231450,21287
49750123,67552
60031060,97995
61984415,46579
15318537,71461
77138308,40822
98079995,48375
25996806,30869
85240415,64574
15385785,58388
92016871,47824
17759766,94751
65714755,48543
96978619,52487
10812780,68112
73399034,45719
54599737,60763
46544371,23820
57875576,46165
96643578,27840
76099458,44219
61949102,49696
73803132,12496
29136834,87496
76561080,26744
49371870,96269
69600902,28027
59907423,74875
30680638,67151
45916173,74124
64498781,17382
26056947,43174
92549745,80696
21575546,67624
37550270,75300
69169199,80125
84110013,37353
47375476,20188
78796898,31969
35261559,91684
10394152,64858
21817807,94625
95334784,93557
20373120,99834
42807780,20184
20162749,32930
22780354,88676
29593119,27978
37593318,24225
52382858,95647
44193019,50451
72537639,75377
92856851,24555
48704117,95641
27385734,84044
61344650,43915
14450491,48836
67951801,83376
37686639,78739
29896894,75505
60382160,64225
62934138,66305
32923954,43419
18140659,68484
84612139,36330
51782977,17833
90818997,66470
45745040,55866
29530202,32179
58466919,33550
60141854,73984
34922140,24655
68770708,31945
33141595,73251
58430463,38577
66529127,90631
11553010,23563
30823043,26170
68119852,10033
20957245,90981
38038226,73175
96824222,79761
96274116,24140
56619506,38185
37266551,94706
30128045,99986
64855548,99842
32180960,62333
61483600,17815
63677844,71428
43805799,71379
60514392,68311
26240921,30093
86523442,78402
76772965,68071
82415493,38287
19558206,47680
17597330,14189
27043674,35515
71501548,13250
18071720,46321
78950432,29847
26894260,46414
10408214,71360
92423975,50505
99214991,80280
44907601,74363
12460305,45318
54395170,18679
28087303,41594
72491090,82623
54724772,37178
97906437,40301
60631442,39835
94923323,72179
96388129,93130
73296563,95069
56089812,20715
26888245,20379
57267047,33072
63056934,80073
38979873,52120
26710707,74080
50903506,99022
94445869,82712
48532267,50965
18237010,95549
97819351,71812
21201667,72024
93548467,62350
68210421,35185
56672013,70751
10716008,42648
17462028,56165
77272888,45893
27254854,73794
39330439,71974
64973821,56824
22166573,69137
64725839,15480
72514966,29371
29916260,36465
23763460,75588
50059640,14267
34461571,74564
23240297,96902
48890040,66451
35347375,43908
87084807,17238
98506007,39076
58087487,77294
28318347,12925
58304005,46862
51910886,79517
36817863,45051
31000362,52147
71734969,57004
94475415,61932
43167812,38773
54797745,57381
42485794,82912
98171644,82702
33843276,33042
66034492,92067
44986578,16703
91736882,62806
86717074,51713
93575712,28838
63471685,73048
87516054,55779
55544085,69791
91571423,83751
92222955,81747
51546747,61892
70348245,16955
36842734,53904
82893728,70543
41814884,18970
49724027,59963
19203067,88996
73790429,95353
44797321,40323
70293080,78184
17706066,82996
89321160,24772
42383240,32379
75904246,62926
60832892,47805
76449682,85682
93752601,51788
39837020,97071
92481947,80438
46997569,58944
56760377,65612
19901407,75595
89558168,43197
46792573,59512
51330731,73270
91270426,39701
31731693,32905
37971678,63683
74024637,49666
26169203,89583
40394159,87955
18882256,12027
98879818,14913
93026885,63311
38608832,12094
96502920,99951
37213222,79505
35684529,81393
26573405,79549
37957001,43978
61546824,31261
26281351,95264
46420194,72989
98425887,14970
39803829,42961
62718035,39067
78397589,42709
11650202,52283
37840656,39888
54543633,97586
56503835,84575
25929659,42441
25696228,84327
97036474,73827
70266882,28594
25377704,85991
82004615,41521
43505050,41891
99225679,58381
16382139,20729
38864245,14063
27305187,97269
49402857,98838
52698634,58388
87232609,37528
74666963,57161
66630759,27821
76524182,84345
28854438,21048
37996267,62609
72662636,30085
95105921,32710
74883438,97243
87411285,71836
40766928,92370
82708846,36474
14759508,94868
29037966,82615
71950955,12348
84002790,45205
42621588,74889
26814499,51037
28895270,27413
82447094,24107
69102955,67221
47433041,65128
96193571,22076
42578330,60657
79982419,23652
86686416,47045
34994396,93080
37785839,25960
60090799,80151
13268315,45055
17664131,92256
96686206,11540
49752635,84521
55611388,14084
43040325,98708
60728476,14299
85583942,88900
82562586,80812
88812961,34749
84705136,24907
76784648,72444
15075650,92155
48103639,94767
33754673,91418
95760668,37270
14057105,80158
65140663,36371
25723901,67366
70959660,68551
34344185,26357
12595023,47248
66752934,25052
13681242,36702
78664807,37549
19404254,47424
53608630,78369
43915791,93328
49992810,51129
95774337,79496
41908934,76204
36234520,99007
32891025,29460
14940598,49810
43818265,57967
42708371,84813
44084720,77761
89195492,28172
38881305,57274
87271022,13316
26582060,84794
49950884,78261
40572250,97182
98078596,63901
20335505,51371
37417164,59947
85033580,39884
58343744,25122
88850504,96145
94345982,54313
74039621,72186
94020022,23474
72151933,22684
26093932,81636
61563770,48269
54642569,57787
15663767,27700
63809254,31584
42468151,29854
22165723,28861
23565915,77960
11377554,21729
61293249,11435
18919755,16833
11199293,45145
34764743,67679
63904757,37153
45036548,51110
61960702,98839
93594340,74400
98892648,70124
15422423,86971
57899631,55798
38689634,17320
33480592,66809
17391151,89255
73757008,25059
