dni_persona,rango
75580248,Rango 0
67752505,Rango 1
93567777,Rango 2
56690711,Rango 3
46484006,Rango 4
35653089,Rango 0
51515302,Rango 1
45414982,Rango 2
12547299,Rango 3
87447468,Rango 4
62779991,Rango 0
76943479,Rango 1
52152201,Rango 2
94355958,Rango 3
79559391,Rango 4
95348949,Rango 0
69056930,Rango 1
84754330,Rango 2
54952329,Rango 3
74969457,Rango 4
99234900,Rango 0
96684921,Rango 1
67920830,Rango 2
57515796,Rango 3
45515216,Rango 4
18234537,Rango 0
75822543,Rango 1
17476572,Rango 2
48737857,Rango 3
58599442,Rango 4
29991923,Rango 0
68028466,Rango 1
75998513,Rango 2
82149588,Rango 3
40385030,Rango 4
55393987,Rango 0
74271796,Rango 1
79591344,Rango 2
53515232,Rango 3
70672716,Rango 4
30149880,Rango 0
53457635,Rango 1
22257892,Rango 2
10933363,Rango 3
79097207,Rango 4
39957161,Rango 0
77312388,Rango 1
21922252,Rango 2
85914737,Rango 3
38203278,Rango 4
97334716,Rango 0
13910856,Rango 1
54475980,Rango 2
64413601,Rango 3
92299836,Rango 4
79073936,Rango 0
90246514,Rango 1
28469971,Rango 2
34412106,Rango 3
32448286,Rango 4
72175987,Rango 0
73857331,Rango 1
30917975,Rango 2
52929553,Rango 3
11400966,Rango 4
80782481,Rango 0
62644243,Rango 1
19243576,Rango 2
63757278,Rango 3
81928514,Rango 4
50401938,Rango 0
97930771,Rango 1
90162968,Rango 2
87346981,Rango 3
50826136,Rango 4
54332667,Rango 0
22668606,Rango 1
28923762,Rango 2
32609003,Rango 3
41413030,Rango 4
58746062,Rango 0
75130382,Rango 1
91532091,Rango 2
66506472,Rango 3
94137928,Rango 4
90459243,Rango 0
22370636,Rango 1
16409671,Rango 2
67959427,Rango 3
50550643,Rango 4
22756260,Rango 0
85542093,Rango 1
56296000,Rango 2
85072816,Rango 3
63434421,Rango 4
77460468,Rango 0
74578445,Rango 1
49384531,Rango 2
56033073,Rango 3
80064315,Rango 4
