dni_persona,ruc_proveedor
87981490,20119721707
67245229,20493628633
69458631,20104845079
64275542,20465373598
78647548,20533474604
34734549,20534793926
77068143,20810686370
74586444,20743740614
65747511,20115845659
17948033,20444330970
32030607,20677816628
10996542,20033624808
43225157,20541763019
95157656,20555082486
88974547,20864251606
17944325,20710820503
83698333,20120606025
91608727,20474476886
70125671,20902157380
37566659,20022719187
72404249,20255439947
31209850,20818015517
37967621,20359461073
81009885,20119747742
59050543,20338143842
13462072,20234362702
17778717,20352375969
63306315,20169948752
77771998,20845485251
34345302,20089979839
24364894,20346972678
11606363,20324664758
82965212,20823447931
50386898,20495123537
13164087,20810865787
22437205,20612483723
57980798,20560092736
68431592,20336494534
29936076,20611733353
11236179,20484449009
86468272,20413904262
98328265,20304538152
28141418,20273701412
78796421,20199226990
91110628,20684275615
90806823,20997559912
58032145,20934682931
20138535,20245870288
63915767,20944990927
98263611,20610153001
96105885,20115715422
94160797,20699692714
61365076,20978484631
19607929,20819980415
65321970,20535741720
75368464,20525853292
97132641,20711554666
35493465,20206798291
42153684,20798362142
37223385,20498992640
73883430,20422598586
97173874,20466937538
92206273,20488890112
56126690,20868776873
21784123,20585659694
41264027,20380189285
55574807,20460231853
27180689,20720562181
40722686,20559808454
68014477,20456151225
73952779,20022345100
66200762,20963786243
48972794,20124805342
12710351,20092215084
30785275,20025184028
25188969,20179377609
17696816,20578832608
86367804,20056887156
72234269,20546096884
84193647,20218893137
95766297,20584900159
16969965,20678215395
86518544,20499573984
35380791,20219692392
41538010,20370622332
31450642,20219303066
86245109,20240498494
31410732,20795485569
69169695,20861411775
18573883,20970211034
30697779,20024767163
43566067,20033081391
30650182,20211247234
71748735,20867870178
16390758,20118041756
53144237,20134774648
28408772,20633108348
46479287,20960264140
76566362,20263874705
58757181,20790473273
81890890,20019473964
41979486,20599288580
13193849,20796490679
84077643,20952857911
55338026,20702304836
85111521,20455022327
63481534,20162946875
41542623,20535919763
26166560,20834275845
81318219,20562661185
71309417,20391599232
36986780,20512879783
41076384,20173252646
71821267,20290868739
13616115,20100488644
99344888,20478031854
93867498,20541661927
76763503,20643709066
32041922,20126324825
75369516,20387049265
15892335,20018820293
37991687,20507953010
87896139,20724232572
11770770,20890271912
12174768,20218033274
28316179,20519213982
29777682,20130049333
96941225,20973064697
18195531,20434098641
98605070,20552859677
19140042,20376111444
51355462,20684049727
42863574,20023034238
68551990,20799818153
41493169,20844087470
95344016,20589632213
49216975,20711206863
47568265,20486299871
17594611,20971515098
66930032,20154295011
28715797,20660761575
18178257,20854750398
62927053,20357960473
52576437,20021354934
74485029,20530074914
76767135,20844217797
80504784,20238882328
17387533,20915381222
41641555,20111008391
88062987,20213580199
29902017,20237323404
20734093,20973933545
33048949,20190669734
70356162,20251005709
85142331,20945602171
50622308,20347929429
35019180,20424946187
15354188,20035550434
41994987,20591749004
57397831,20343097560
34683365,20518763259
77434727,20159820549
97777750,20260556491
19773114,20412422345
80538021,20814277555
72435836,20066077097
42192583,20954126525
18309806,20649169535
89375027,20778461457
33551643,20069526573
37940775,20202016262
11489404,20615054547
62652610,20033974651
36328287,20316922612
63603125,20854990719
47072218,20974771463
66630889,20145598278
87567359,20378390527
89227492,20403538920
68027881,20279860144
33351604,20011509476
34510203,20896152888
89921239,20703939367
98250311,20060415010
16330766,20566616184
51513611,20512226237
95730820,20439530458
66260699,20176509294
83263352,20182124643
13884417,20966282235
77613525,20541466125
11128688,20544538239
85476917,20139334365
53963580,20737109222
44575055,20406677268
94610661,20788854879
62480122,20213604410
78053710,20156662710
85660098,20483817453
38245192,20350401834
75160072,20936611012
91589761,20455609476
17528433,20194481336
24125811,20666450494
47522115,20813015323
86367804,20056658712
75845486,20680787347
31363815,20134639588
87777830,20981197864
50107241,20017739895
63446522,20259095066
76920895,20499456660
27083111,20240237989
15646749,20487795806
73651937,20064245092
52315723,20217283099
47695908,20356826823
25879444,20639391647
74640680,20262297805
46755996,20029075219
82790833,20997089201
96608794,20527455038
76602045,20643762102
85779024,20004675696
86992983,20102104275
43820614,20089090977
38300455,20225441839
29614079,20484145217
53498119,20459801020
55229878,20093022519
36893999,20746481605
33089719,20385305574
63757278,20415633283
28168476,20888331418
29232964,20777530831
73837638,20616407501
77932333,20635886341
61247035,20966470845
75759019,20080738839
75840783,20187400110
31210222,20224326040
50259542,20009804613
70771439,20604878308
37097726,20569349095
74988446,20920112905
97215290,20594328908
28059009,20051407328
25725897,20169712359
49585926,20500856445
83233153,20235821765
25380320,20185094741
87784220,20833687528
35347954,20817437509
89840718,20324069634
20576941,20578287826
71782338,20585896945
53300059,20730466342
82762128,20070179084
42911396,20853126829
51977986,20742173516
43301749,20463507833
73651937,20748874833
83848280,20184354883
14774096,20807406848
24821362,20817523906
35692788,20405701125
55435219,20831320669
75547533,20019582296
75667843,20311047501
33058241,20150622224
36775271,20715831336
42776834,20656425423
99643902,20813514398
70846526,20065258683
84520799,20121591962
28619768,20944254467
49813835,20435152460
23630850,20920549363
14742293,20352088433
53007813,20508697203
99349781,20382193981
60244293,20417281406
21871823,20372888677
86072049,20680963025
22786815,20160430916
11654215,20489859655
71096163,20128693460
87557509,20874768078
88217746,20051964675
79010232,20025950303
19240031,20861332674
47421386,20650916211
41394945,20149254728
40304821,20876637490
43512830,20913154181
94536446,20385020317
77712460,20038778501
20580037,20197617446
57911510,20538519048
34709836,20314740516
17056710,20424235512
22818241,20815312709
94075249,20450370923
73867431,20158742661
82481204,20055523098
10919143,20264055873
82580071,20708352285
64823094,20839259499
38303489,20730319777
90973032,20915187387
66698280,20097075882
46805517,20671530421
29995236,20537615094
17538253,20290591118
70638956,20460702025
73113872,20357348092
60161878,20546397667
94666027,20470458395
96810624,20540175442
53659118,20846461094
54106122,20450573805
48632071,20689820322
92149932,20888801020
34713668,20904521999
10861439,20752667575
52700900,20728832473
14913402,20703997298
56467273,20008802152
50478777,20623533735
24848342,20574537280
67420784,20584636705
99327136,20356087353
16717817,20959967206
70083153,20404805584
31989788,20745970966
41417622,20035972052
69211839,20828786365
62029461,20572536917
34929166,20999516339
28931234,20151455962
67595541,20732976018
35193810,20044077138
62334536,20127171257
42420408,20947957663
16350743,20928475286
73965006,20341249205
47294902,20590354792
18907218,20271355342
71194087,20050222729
30313800,20508918732
87420689,20701150641
86026077,20089637914
45073149,20992436560
33511014,20171136377
66585052,20341680300
22033890,20034429712
64104023,20201764451
35890347,20055823726
69635768,20752416108
86669603,20725744216
90348553,20812880109
23875555,20627715881
51679406,20217828442
55727544,20268768133
34581169,20496911017
38622703,20689271654
89182992,20365217577
69161200,20909314092
88048623,20114675645
43786089,20385016834
29329382,20395250639
79116117,20875524926
19755822,20782528245
71699780,20125857362
44256335,20178136243
37294661,20703894200
87712857,20835890913
18901234,20738656291
12032193,20196535689
35709124,20962712948
54899589,20888449038
66716700,20450288926
20099554,20439326209
91496619,20983030731
76626748,20672832326
99758800,20303706069
99579155,20806817350
47283204,20554215357
94513163,20203247798
69214196,20763888833
25971764,20946779172
86946042,20157226823
35686654,20331885791
55229878,20925466320
49790677,20821537963
71208913,20328985021
43444542,20617162280
16325040,20116130203
52983025,20490781712
13850993,20303242125
56658516,20841768551
70552487,20982547849
72936660,20738020859
58685399,20658991922
82485201,20091430864
26558384,20063246988
30331031,20644140634
67929516,20386798283
16903588,20983062525
23831273,20983819550
64100290,20112566011
81863440,20558093068
82485201,20573859568
87415553,20509171546
32965061,20778565162
17720675,20010544333
31924631,20761439619
37180773,20099504760
71490675,20884581561
48796276,20786036057
15989543,20068053759
65509630,20171420346
58962643,20301612823
22774281,20046087153
11841966,20090510054
19426435,20457031361
51185281,20525717747
52650851,20251190971
76268595,20724456009
64994223,20264523050
20021294,20760421788
19670619,20336465390
36595074,20595610187
38428184,20681568063
31127852,20862753985
80770457,20098211348
30612301,20406446428
