administrador,ruc,nombre
87981490,20119721707,Proveedor Culpa
67245229,20493628633,Proveedor Corrupti
69458631,20104845079,Proveedor Corporis
64275542,20465373598,Proveedor Placeat
78647548,20533474604,Proveedor Earum
34734549,20534793926,Proveedor Odit
77068143,20810686370,Proveedor Repellendus
74586444,20743740614,Proveedor Molestias
65747511,20115845659,Proveedor Quae
17948033,20444330970,Proveedor Quae
32030607,20677816628,Proveedor Libero
10996542,20033624808,Proveedor Ducimus
43225157,20541763019,Proveedor Debitis
95157656,20555082486,Proveedor Quasi
88974547,20864251606,Proveedor Sit
17944325,20710820503,Proveedor Pariatur
83698333,20120606025,Proveedor Nam
91608727,20474476886,Proveedor Cumque
70125671,20902157380,Proveedor Unde
37566659,20022719187,Proveedor Culpa
72404249,20255439947,Proveedor Iste
31209850,20818015517,Proveedor Facilis
37967621,20359461073,Proveedor Optio
81009885,20119747742,Proveedor Doloremque
59050543,20338143842,Proveedor Molestias
13462072,20234362702,Proveedor Incidunt
17778717,20352375969,Proveedor Adipisci
63306315,20169948752,Proveedor Amet
77771998,20845485251,Proveedor Quidem
34345302,20089979839,Proveedor Provident
24364894,20346972678,Proveedor Iure
11606363,20324664758,Proveedor Nisi
82965212,20823447931,Proveedor Laboriosam
50386898,20495123537,Proveedor Molestias
13164087,20810865787,Proveedor Quas
22437205,20612483723,Proveedor Et
57980798,20560092736,Proveedor Quibusdam
68431592,20336494534,Proveedor Accusantium
29936076,20611733353,Proveedor Porro
11236179,20484449009,Proveedor Ducimus
86468272,20413904262,Proveedor Aliquam
98328265,20304538152,Proveedor Labore
28141418,20273701412,Proveedor Quo
78796421,20199226990,Proveedor Ea
91110628,20684275615,Proveedor Minima
90806823,20997559912,Proveedor Sequi
58032145,20934682931,Proveedor Perferendis
20138535,20245870288,Proveedor Dolore
63915767,20944990927,Proveedor Quas
98263611,20610153001,Proveedor Recusandae
96105885,20115715422,Proveedor Aliquid
94160797,20699692714,Proveedor Odio
61365076,20978484631,Proveedor Laudantium
19607929,20819980415,Proveedor Quaerat
65321970,20535741720,Proveedor Voluptatum
75368464,20525853292,Proveedor Accusamus
97132641,20711554666,Proveedor Aut
35493465,20206798291,Proveedor Tenetur
42153684,20798362142,Proveedor Quos
37223385,20498992640,Proveedor Cumque
73883430,20422598586,Proveedor Doloremque
97173874,20466937538,Proveedor Excepturi
92206273,20488890112,Proveedor Suscipit
56126690,20868776873,Proveedor Et
21784123,20585659694,Proveedor Exercitationem
41264027,20380189285,Proveedor Provident
55574807,20460231853,Proveedor Harum
27180689,20720562181,Proveedor Laboriosam
40722686,20559808454,Proveedor Est
68014477,20456151225,Proveedor Ex
73952779,20022345100,Proveedor Dolores
66200762,20963786243,Proveedor Nobis
48972794,20124805342,Proveedor Eius
12710351,20092215084,Proveedor Cum
30785275,20025184028,Proveedor Odio
25188969,20179377609,Proveedor Libero
17696816,20578832608,Proveedor Perferendis
86367804,20056887156,Proveedor Tenetur
72234269,20546096884,Proveedor Cupiditate
84193647,20218893137,Proveedor Odio
95766297,20584900159,Proveedor Magnam
16969965,20678215395,Proveedor Blanditiis
86518544,20499573984,Proveedor At
35380791,20219692392,Proveedor Minima
41538010,20370622332,Proveedor Exercitationem
31450642,20219303066,Proveedor Totam
86245109,20240498494,Proveedor Occaecati
31410732,20795485569,Proveedor Hic
69169695,20861411775,Proveedor Error
18573883,20970211034,Proveedor Aut
30697779,20024767163,Proveedor Nostrum
43566067,20033081391,Proveedor Eos
30650182,20211247234,Proveedor Eveniet
71748735,20867870178,Proveedor Corporis
16390758,20118041756,Proveedor Iusto
53144237,20134774648,Proveedor Perferendis
28408772,20633108348,Proveedor Esse
46479287,20960264140,Proveedor Asperiores
76566362,20263874705,Proveedor Ullam
58757181,20790473273,Proveedor Dolor
81890890,20019473964,Proveedor Modi
41979486,20599288580,Proveedor Dolorem
13193849,20796490679,Proveedor Dolor
84077643,20952857911,Proveedor Corrupti
55338026,20702304836,Proveedor Mollitia
85111521,20455022327,Proveedor Quia
63481534,20162946875,Proveedor Architecto
41542623,20535919763,Proveedor Qui
26166560,20834275845,Proveedor Commodi
81318219,20562661185,Proveedor Consequatur
71309417,20391599232,Proveedor Veritatis
36986780,20512879783,Proveedor Porro
41076384,20173252646,Proveedor Beatae
71821267,20290868739,Proveedor Ipsum
13616115,20100488644,Proveedor Velit
99344888,20478031854,Proveedor Sed
93867498,20541661927,Proveedor Beatae
76763503,20643709066,Proveedor Vero
32041922,20126324825,Proveedor Tempora
75369516,20387049265,Proveedor Earum
15892335,20018820293,Proveedor Tenetur
37991687,20507953010,Proveedor Saepe
87896139,20724232572,Proveedor Tempore
11770770,20890271912,Proveedor Dignissimos
12174768,20218033274,Proveedor Voluptatem
28316179,20519213982,Proveedor Quas
29777682,20130049333,Proveedor Tempora
96941225,20973064697,Proveedor Saepe
18195531,20434098641,Proveedor Ratione
98605070,20552859677,Proveedor Laudantium
19140042,20376111444,Proveedor Magnam
51355462,20684049727,Proveedor Est
42863574,20023034238,Proveedor Exercitationem
68551990,20799818153,Proveedor Quo
41493169,20844087470,Proveedor Sequi
95344016,20589632213,Proveedor Excepturi
49216975,20711206863,Proveedor Corporis
47568265,20486299871,Proveedor Magni
17594611,20971515098,Proveedor Adipisci
66930032,20154295011,Proveedor Enim
28715797,20660761575,Proveedor Debitis
18178257,20854750398,Proveedor Minus
62927053,20357960473,Proveedor Facere
52576437,20021354934,Proveedor Ab
74485029,20530074914,Proveedor Dolor
76767135,20844217797,Proveedor Natus
80504784,20238882328,Proveedor Sint
17387533,20915381222,Proveedor Nostrum
41641555,20111008391,Proveedor Hic
88062987,20213580199,Proveedor Iste
29902017,20237323404,Proveedor Cum
20734093,20973933545,Proveedor Ratione
33048949,20190669734,Proveedor Tempore
70356162,20251005709,Proveedor Aut
85142331,20945602171,Proveedor Praesentium
50622308,20347929429,Proveedor Quisquam
35019180,20424946187,Proveedor Iste
15354188,20035550434,Proveedor Accusamus
41994987,20591749004,Proveedor Accusamus
57397831,20343097560,Proveedor Ipsum
34683365,20518763259,Proveedor Suscipit
77434727,20159820549,Proveedor Recusandae
97777750,20260556491,Proveedor Incidunt
19773114,20412422345,Proveedor Omnis
80538021,20814277555,Proveedor Saepe
72435836,20066077097,Proveedor Ab
42192583,20954126525,Proveedor Excepturi
18309806,20649169535,Proveedor Quibusdam
89375027,20778461457,Proveedor Quaerat
33551643,20069526573,Proveedor Nostrum
37940775,20202016262,Proveedor Dolorem
11489404,20615054547,Proveedor Eveniet
62652610,20033974651,Proveedor Similique
36328287,20316922612,Proveedor Voluptatum
63603125,20854990719,Proveedor Harum
47072218,20974771463,Proveedor Quod
66630889,20145598278,Proveedor Beatae
87567359,20378390527,Proveedor Ea
89227492,20403538920,Proveedor Illum
68027881,20279860144,Proveedor Deserunt
33351604,20011509476,Proveedor Quae
34510203,20896152888,Proveedor Explicabo
89921239,20703939367,Proveedor Eum
98250311,20060415010,Proveedor Consequuntur
16330766,20566616184,Proveedor Quo
51513611,20512226237,Proveedor Doloribus
95730820,20439530458,Proveedor Natus
66260699,20176509294,Proveedor Reiciendis
83263352,20182124643,Proveedor Sequi
13884417,20966282235,Proveedor Eaque
77613525,20541466125,Proveedor Nulla
11128688,20544538239,Proveedor Quo
85476917,20139334365,Proveedor Repudiandae
53963580,20737109222,Proveedor Dolorem
44575055,20406677268,Proveedor Numquam
94610661,20788854879,Proveedor Animi
62480122,20213604410,Proveedor Voluptate
78053710,20156662710,Proveedor Id
85660098,20483817453,Proveedor Maxime
38245192,20350401834,Proveedor Nostrum
75160072,20936611012,Proveedor Quae
91589761,20455609476,Proveedor Sed
17528433,20194481336,Proveedor Enim
24125811,20666450494,Proveedor Mollitia
47522115,20813015323,Proveedor Placeat
86367804,20056658712,Proveedor Aliquam
75845486,20680787347,Proveedor Soluta
31363815,20134639588,Proveedor Laudantium
87777830,20981197864,Proveedor Perspiciatis
50107241,20017739895,Proveedor Molestiae
63446522,20259095066,Proveedor Laudantium
76920895,20499456660,Proveedor At
27083111,20240237989,Proveedor Quia
15646749,20487795806,Proveedor At
73651937,20064245092,Proveedor Rem
52315723,20217283099,Proveedor Eos
47695908,20356826823,Proveedor Tempore
25879444,20639391647,Proveedor Laudantium
74640680,20262297805,Proveedor At
46755996,20029075219,Proveedor Officia
82790833,20997089201,Proveedor Error
96608794,20527455038,Proveedor Neque
76602045,20643762102,Proveedor Delectus
85779024,20004675696,Proveedor Accusamus
86992983,20102104275,Proveedor Pariatur
43820614,20089090977,Proveedor Doloribus
38300455,20225441839,Proveedor Magnam
29614079,20484145217,Proveedor Praesentium
53498119,20459801020,Proveedor Quia
55229878,20093022519,Proveedor Ullam
36893999,20746481605,Proveedor Amet
33089719,20385305574,Proveedor Reiciendis
63757278,20415633283,Proveedor Dignissimos
28168476,20888331418,Proveedor Repellendus
29232964,20777530831,Proveedor Libero
73837638,20616407501,Proveedor Recusandae
77932333,20635886341,Proveedor Minus
61247035,20966470845,Proveedor Eligendi
75759019,20080738839,Proveedor Quo
75840783,20187400110,Proveedor Pariatur
31210222,20224326040,Proveedor Necessitatibus
50259542,20009804613,Proveedor Soluta
70771439,20604878308,Proveedor Quidem
37097726,20569349095,Proveedor Explicabo
74988446,20920112905,Proveedor Deleniti
97215290,20594328908,Proveedor Eveniet
28059009,20051407328,Proveedor Autem
25725897,20169712359,Proveedor Tempora
49585926,20500856445,Proveedor Placeat
83233153,20235821765,Proveedor Dolor
25380320,20185094741,Proveedor Expedita
87784220,20833687528,Proveedor Commodi
35347954,20817437509,Proveedor Totam
89840718,20324069634,Proveedor Repellendus
20576941,20578287826,Proveedor Voluptatum
71782338,20585896945,Proveedor Laborum
53300059,20730466342,Proveedor Beatae
82762128,20070179084,Proveedor Beatae
42911396,20853126829,Proveedor Dicta
51977986,20742173516,Proveedor Dicta
43301749,20463507833,Proveedor Quia
73651937,20748874833,Proveedor Praesentium
83848280,20184354883,Proveedor Maxime
14774096,20807406848,Proveedor Voluptatum
24821362,20817523906,Proveedor Mollitia
35692788,20405701125,Proveedor Rem
55435219,20831320669,Proveedor Autem
75547533,20019582296,Proveedor Totam
75667843,20311047501,Proveedor Quo
33058241,20150622224,Proveedor Doloribus
36775271,20715831336,Proveedor Minima
42776834,20656425423,Proveedor Quas
99643902,20813514398,Proveedor Id
70846526,20065258683,Proveedor Ipsam
84520799,20121591962,Proveedor Distinctio
28619768,20944254467,Proveedor Dolore
49813835,20435152460,Proveedor Rerum
23630850,20920549363,Proveedor Inventore
14742293,20352088433,Proveedor Itaque
53007813,20508697203,Proveedor Error
99349781,20382193981,Proveedor Ab
60244293,20417281406,Proveedor Explicabo
21871823,20372888677,Proveedor Possimus
86072049,20680963025,Proveedor Sit
22786815,20160430916,Proveedor Nemo
11654215,20489859655,Proveedor Animi
71096163,20128693460,Proveedor Repudiandae
87557509,20874768078,Proveedor Tempore
88217746,20051964675,Proveedor Ullam
79010232,20025950303,Proveedor Recusandae
19240031,20861332674,Proveedor Tempore
47421386,20650916211,Proveedor Recusandae
41394945,20149254728,Proveedor Repellat
40304821,20876637490,Proveedor Numquam
43512830,20913154181,Proveedor Laudantium
94536446,20385020317,Proveedor Id
77712460,20038778501,Proveedor Dolor
20580037,20197617446,Proveedor Esse
57911510,20538519048,Proveedor Modi
34709836,20314740516,Proveedor Facere
17056710,20424235512,Proveedor Dolor
22818241,20815312709,Proveedor Dicta
94075249,20450370923,Proveedor Magni
73867431,20158742661,Proveedor Minima
82481204,20055523098,Proveedor Qui
10919143,20264055873,Proveedor Blanditiis
82580071,20708352285,Proveedor Dicta
64823094,20839259499,Proveedor Dignissimos
38303489,20730319777,Proveedor Cumque
90973032,20915187387,Proveedor Non
66698280,20097075882,Proveedor Explicabo
46805517,20671530421,Proveedor Nam
29995236,20537615094,Proveedor Nemo
17538253,20290591118,Proveedor Repellendus
70638956,20460702025,Proveedor Voluptates
73113872,20357348092,Proveedor Praesentium
60161878,20546397667,Proveedor Cumque
94666027,20470458395,Proveedor Culpa
96810624,20540175442,Proveedor Repudiandae
53659118,20846461094,Proveedor Sint
54106122,20450573805,Proveedor Aperiam
48632071,20689820322,Proveedor Perspiciatis
92149932,20888801020,Proveedor Beatae
34713668,20904521999,Proveedor Itaque
10861439,20752667575,Proveedor Vitae
52700900,20728832473,Proveedor Deserunt
14913402,20703997298,Proveedor Quisquam
56467273,20008802152,Proveedor Fugit
50478777,20623533735,Proveedor Repellendus
24848342,20574537280,Proveedor Consequatur
67420784,20584636705,Proveedor Corporis
99327136,20356087353,Proveedor Nihil
16717817,20959967206,Proveedor Blanditiis
70083153,20404805584,Proveedor Saepe
31989788,20745970966,Proveedor Eos
41417622,20035972052,Proveedor Vitae
69211839,20828786365,Proveedor Ea
62029461,20572536917,Proveedor Asperiores
34929166,20999516339,Proveedor Fugit
28931234,20151455962,Proveedor Dolorum
67595541,20732976018,Proveedor Veritatis
35193810,20044077138,Proveedor Sed
62334536,20127171257,Proveedor Similique
42420408,20947957663,Proveedor Laborum
16350743,20928475286,Proveedor Fugiat
73965006,20341249205,Proveedor Sequi
47294902,20590354792,Proveedor Quisquam
18907218,20271355342,Proveedor Reprehenderit
71194087,20050222729,Proveedor Autem
30313800,20508918732,Proveedor Velit
87420689,20701150641,Proveedor Illum
86026077,20089637914,Proveedor Exercitationem
45073149,20992436560,Proveedor Magnam
33511014,20171136377,Proveedor Corrupti
66585052,20341680300,Proveedor Exercitationem
22033890,20034429712,Proveedor Facere
64104023,20201764451,Proveedor Ipsum
35890347,20055823726,Proveedor Placeat
69635768,20752416108,Proveedor Praesentium
86669603,20725744216,Proveedor Qui
90348553,20812880109,Proveedor Esse
23875555,20627715881,Proveedor Dolorem
51679406,20217828442,Proveedor Ipsum
55727544,20268768133,Proveedor Dolor
34581169,20496911017,Proveedor Ea
38622703,20689271654,Proveedor Repellendus
89182992,20365217577,Proveedor Exercitationem
69161200,20909314092,Proveedor Maxime
88048623,20114675645,Proveedor Quibusdam
43786089,20385016834,Proveedor Incidunt
29329382,20395250639,Proveedor Dignissimos
79116117,20875524926,Proveedor Possimus
19755822,20782528245,Proveedor Dolorem
71699780,20125857362,Proveedor Dolorum
44256335,20178136243,Proveedor Nam
37294661,20703894200,Proveedor Adipisci
87712857,20835890913,Proveedor Quaerat
18901234,20738656291,Proveedor Quia
12032193,20196535689,Proveedor Quod
35709124,20962712948,Proveedor Occaecati
54899589,20888449038,Proveedor Reprehenderit
66716700,20450288926,Proveedor Quia
20099554,20439326209,Proveedor Labore
91496619,20983030731,Proveedor Nemo
76626748,20672832326,Proveedor Autem
99758800,20303706069,Proveedor Non
99579155,20806817350,Proveedor Quo
47283204,20554215357,Proveedor Rerum
94513163,20203247798,Proveedor Esse
69214196,20763888833,Proveedor Reiciendis
25971764,20946779172,Proveedor Voluptate
86946042,20157226823,Proveedor Est
35686654,20331885791,Proveedor Consequatur
55229878,20925466320,Proveedor Excepturi
49790677,20821537963,Proveedor Dicta
71208913,20328985021,Proveedor At
43444542,20617162280,Proveedor Natus
