dni_persona,telefono_fijo
30803611,94260
87930530,17145
68766053,38684
64465363,65252
91053799,66287
81754230,88086
70926049,25802
53256369,70364
32924304,42765
57778204,66828
93019524,52318
97117385,53801
79726741,29202
85168327,62075
20685648,87192
30585502,30506
88650998,43793
28104481,42405
78922554,56651
16951286,40741
76164370,87116
14423073,79301
81642728,48912
19288699,60089
35367518,94586
11401924,23092
90538548,90485
43893331,57968
43959930,90463
61331481,68164
36539046,48647
81163954,66582
67882717,33578
70639617,11195
65554317,22891
21575584,99955
31340862,85718
80624817,73610
22378195,18066
69732096,52029
68640968,70614
88263358,67501
65120747,28025
44119681,94687
10556990,99745
39525384,97769
69080560,66838
46695597,39849
16521067,97951
24944584,37019
80441813,95673
81388320,43574
57083282,15989
53191009,35753
67838778,53767
82631088,47608
74029444,10849
78662734,16507
28730424,47540
28891714,28839
57294858,11017
74079166,80695
36077500,36687
75393028,14999
17420589,53294
88415510,72738
53531313,63265
34890350,46409
95424536,67839
36428880,13081
15299887,48646
94328994,14248
72318136,46313
50141721,55862
60775836,24214
12802055,80561
53599364,62189
68825964,64328
39158295,86864
58767157,86641
72298324,87219
18059911,65721
77584880,52320
26781122,91267
70143110,21398
47078966,71207
53405661,84269
82520097,76330
84494378,46610
46978289,92966
26739680,83030
70025613,72547
63863191,72474
77064921,12508
15458436,41723
28956870,42516
81012135,81805
17971561,34130
59355077,81739
47731299,32565
31528119,63336
64749201,93242
33631889,78970
47872564,45341
32831581,24205
50321702,43747
50794156,88762
28172997,45041
66777540,14349
39530295,62320
48876606,73180
46602130,81920
90169581,74653
21358929,36027
83756979,56187
61914433,28218
75726881,63683
40508716,90198
74643197,92592
48028326,31872
74347983,61735
66966370,50946
92459186,85462
75841883,93631
76474057,82904
84277277,43958
16923402,51069
73850798,57135
97633742,42058
30127978,16024
36635413,13106
28921208,88078
92424332,48100
73938182,53527
39062428,97084
14887694,57901
85472158,18480
79742762,71576
36995692,43498
16811780,20476
19299731,15437
32522961,67519
98338707,37916
64311555,77964
15863884,98614
31911589,58155
83190194,51051
97522120,37917
51489887,66197
86294947,20537
45319128,15717
57132187,86607
40708709,49337
93633223,72250
28053728,67881
47871596,87770
45772358,48069
14387739,40016
94200493,47471
96158550,68856
92050496,71979
14049404,81838
32708750,99356
83507375,92478
50422718,39653
47729118,97583
62424223,25811
67107116,26969
11137934,35134
23393547,55243
27309988,77074
42292702,19381
16140867,65885
31753008,20522
62949067,68829
97171946,84964
36904199,29331
41516516,17989
51200676,52692
89986489,89272
98319084,63481
92824427,59355
83587838,50158
59105827,32535
26626557,35282
22046017,97180
66777122,80538
17014860,14505
78321786,90581
27364329,87892
86695232,62179
58996887,31816
52811824,34387
99385218,58416
79355127,16109
72233551,75850
50317669,86757
96998568,99222
93904745,86274
54795573,98853
73085065,91094
76298237,17108
67991676,17186
11619842,55029
38083910,26557
77650137,43725
99055984,50404
89222352,46866
44590392,27196
39087057,51426
10838519,56706
44034806,43181
62313423,44036
52286557,11734
59290491,32857
33014923,26332
73639017,91571
21526301,26517
51204614,30208
43719990,31075
35810723,32837
43721551,42405
33473184,16246
20232405,88108
57806469,67185
51934948,54085
65313934,24581
65257757,11421
12149120,52548
64343139,36039
80408653,37114
58662754,84350
30062327,65062
11964876,99801
84980668,18950
96799103,66406
18591614,66856
83353726,54170
84152996,29539
38645752,77389
37740667,53043
19168434,57461
77880940,71416
69857737,62038
72544967,54604
69577686,36504
31925845,74186
58240886,69928
15897942,76341
54438979,30217
71457306,65220
88144512,69586
12944042,67918
62595354,31921
76769329,91127
64941893,54930
76717225,43954
80004874,82843
50807998,23650
22837044,47336
59873934,65874
55238385,47985
77733455,78541
48785006,35828
68718418,60923
71276167,11771
39538335,95198
70289369,23028
81118758,71314
10379977,34373
59559103,67590
57118180,63638
25772842,88212
61300880,61685
82213390,50070
11313511,82513
65278341,54355
49067687,35504
50282830,65117
44506386,26051
40462871,78621
98294995,58753
23248151,15934
66632770,54881
32867411,87204
14040923,51216
31776599,61972
27448383,86429
80896683,99135
88003202,48834
46646474,14069
16415582,10881
57026495,27205
95261010,64664
19972112,51318
72582338,65272
49698301,28692
41844556,17790
34321729,45622
75294602,10436
66425522,94444
62151061,81436
99882382,77676
52565001,82748
60192690,40249
24906298,20493
29687278,99807
60999530,29334
39861701,34258
16671513,64895
29158807,42271
80739867,92912
19616979,95956
83317662,64577
59939939,25040
70945539,21441
36846911,73401
20563817,82991
34439543,22916
79039224,33870
26868046,47041
92742775,21935
24661629,41002
90683827,58304
77493617,92180
59569670,64059
