dni_persona,num_colegiatura,especializacion
48341358,VET-851051,Oncología
55452563,VET-964576,Cirugía
25187171,VET-670015,Cirugía
13207539,VET-133093,Oncología
27694663,VET-098371,Medicina General
85377366,VET-040693,Cirugía
48317070,VET-689458,Dermatología
13434472,VET-568784,Oncología
87598359,VET-260868,Medicina General
46998831,VET-000235,Cardiología
76013674,VET-758182,Medicina General
58927874,VET-253979,Cardiología
40055820,VET-046152,Oncología
87249217,VET-790088,Dermatología
62829190,VET-438965,Dermatología
11400036,VET-788390,Medicina General
93870465,VET-358381,Cirugía
70179628,VET-044776,Cirugía
87692184,VET-785363,Dermatología
12100643,VET-877948,Dermatología
78754628,VET-424126,Oncología
60576967,VET-277039,Medicina General
88015117,VET-274046,Cirugía
73190809,VET-377124,Oncología
38581850,VET-773721,Oncología
21841011,VET-769045,Cardiología
32485539,VET-884513,Dermatología
58212399,VET-225202,Dermatología
97649568,VET-251058,Cardiología
82254427,VET-199195,Cirugía
75757446,VET-020671,Medicina General
36990950,VET-492638,Cirugía
27129975,VET-338990,Cardiología
22967862,VET-915571,Oncología
12906150,VET-830347,Oncología
57962895,VET-336377,Cirugía
78061046,VET-049982,Oncología
13543911,VET-172053,Cirugía
41368960,VET-193875,Dermatología
73264685,VET-419975,Dermatología
35929455,VET-502920,Medicina General
80825718,VET-789092,Cardiología
32977550,VET-351188,Cardiología
86906541,VET-166335,Cardiología
47516414,VET-427279,Dermatología
54901215,VET-111707,Oncología
84356935,VET-559125,Medicina General
65257212,VET-396943,Dermatología
23945133,VET-871880,Medicina General
88322525,VET-057971,Oncología
21609413,VET-097571,Cirugía
36350148,VET-766600,Cirugía
61994681,VET-485844,Medicina General
97232711,VET-025454,Oncología
91936899,VET-890240,Oncología
38368843,VET-867148,Dermatología
64687688,VET-564002,Dermatología
75043487,VET-011946,Cirugía
43625053,VET-604819,Cirugía
66072076,VET-339682,Cardiología
66624746,VET-334755,Cirugía
70590792,VET-375579,Dermatología
35969400,VET-633284,Oncología
88929867,VET-058751,Cardiología
72906849,VET-343256,Cirugía
30911953,VET-734556,Oncología
45836642,VET-775178,Oncología
50311320,VET-449543,Cirugía
15016726,VET-242329,Cardiología
22375402,VET-764834,Cirugía
77654488,VET-754615,Cirugía
54592228,VET-338956,Medicina General
82381441,VET-091046,Medicina General
37688865,VET-076111,Medicina General
56550267,VET-216426,Cirugía
69914532,VET-034894,Medicina General
41216596,VET-408578,Medicina General
71725035,VET-248714,Cardiología
77596051,VET-069913,Cirugía
11013325,VET-551525,Medicina General
76189950,VET-510335,Cardiología
94357696,VET-045345,Oncología
44751536,VET-988669,Dermatología
55279638,VET-849445,Medicina General
16922788,VET-828466,Cardiología
29397075,VET-711444,Medicina General
49806327,VET-221288,Cardiología
44381698,VET-701254,Oncología
21763922,VET-085459,Cirugía
85418695,VET-167939,Oncología
78630423,VET-036392,Cardiología
51181012,VET-289572,Medicina General
24579817,VET-397777,Oncología
83479723,VET-357424,Cirugía
66186877,VET-766530,Dermatología
38114996,VET-638159,Medicina General
94402387,VET-398814,Cardiología
47100081,VET-836684,Dermatología
48361525,VET-725017,Oncología
83155570,VET-618424,Cirugía
53176633,VET-184092,Cirugía
72507396,VET-386084,Medicina General
73418926,VET-581087,Dermatología
36177919,VET-335146,Cirugía
77424915,VET-720036,Cardiología
57233328,VET-209289,Cirugía
95807670,VET-268837,Cirugía
97538951,VET-626432,Medicina General
32410045,VET-857275,Dermatología
58138041,VET-405069,Cirugía
51003755,VET-912152,Cardiología
